,LID,Name,Region,Flaeche,Einwohner,BIP
185,186,Saudi-Arabien,Mittlerer Osten,1960582,22023506.0,191000000000.0
186,187,Senegal,Afrika,196190,9987494.0,16600000000.0
187,188,Serbien und Montenegro,Europa,102350,10662087.0,20600000000.0
188,189,Seychellen,Afrika,455,79326.0,590000000.0
189,190,Sierra Leone,Afrika,71740,5232624.0,2500000000.0
190,191,Singapur,Südostasien,647,4151264.0,98000000000.0
191,192,Slowakei,Europa,48845,5407956.0,45900000000.0
192,193,Slowenien,Europa,20253,1927593.0,21400000000.0
193,194,Solomon Islands,Ozeanien,28450,466194.0,1210000000.0
194,195,Somalia,Afrika,637657,7253137.0,4300000000.0
195,196,SüdAfrika,Afrika,1219912,43421021.0,296100000000.0
196,197,Spanien,Europa,504782,39996671.0,677500000000.0
197,198,Sri Lanka,Asien,65610,19238575.0,50500000000.0
198,199,Sudan,Afrika,2505810,35079814.0,32600000000.0
199,200,Suriname,Südamerika,163270,431303.0,1480000000.0
200,201,Svalbard,Arktik-Region,62049,2416.0,
201,202,Swaziland,Afrika,17363,1083289.0,4200000000.0
202,203,Schweden,Europa,449964,8873052.0,184000000000.0
203,204,Schweiz,Europa,41290,7262372.0,197000000000.0
204,205,Syrien,Mittlerer Osten,185180,16305659.0,42200000000.0
205,206,Taiwan,Südostasien,35980,22191087.0,357000000000.0
206,207,Tajikistan,Osteuropa,143100,6440732.0,6200000000.0
207,208,Tanzania,Afrika,945087,35306126.0,23300000000.0
208,209,Thailand,Südostasien,514000,61230874.0,388700000000.0
209,210,Togo,Afrika,56785,5018502.0,8600000000.0
210,211,Tokelau,Ozeanien,10,1458.0,1500000.0
211,212,Tonga,Ozeanien,748,102321.0,238000000.0
212,213,Trinidad und Tobago,Mittelamerika,5128,1175523.0,9410000000.0
213,214,Tunesien,Mittlerer Osten,163610,9593402.0,52600000000.0
214,215,Türkei,Europa,780580,65666677.0,409400000000.0
215,216,Turkmenistan,Osteuropa,488100,4518268.0,7700000000.0
216,217,Turks and Caicos Inseln,Mittelamerika,430,17502.0,117000000.0
217,218,Tuvalu,Ozeanien,26,10838.0,7800000.0
218,219,Uganda,Afrika,236040,23317560.0,24200000000.0
219,220,Ukraine,Osteuropa,603700,49153027.0,109500000000.0
220,221,Vereinigte Arabische Emirate,Mittlerer Osten,82880,2369153.0,41500000000.0
221,222,Groß-Britannien,Europa,244820,59511464.0,1290000000000.0
222,223,Vereinigte Staaten von Amerika,Nordamerika,9629091,275562673.0,9255000000000.0
223,224,Uruguay,Südamerika,176220,3334074.0,28000000000.0
224,225,Uzbekistan,Osteuropa,447400,24755519.0,59300000000.0
225,226,Vanuatu,Ozeanien,14760,189618.0,245000000.0
226,227,Venezuela,Südamerika,912050,23542649.0,182800000000.0
227,228,Vietnam,Südostasien,329560,78773873.0,143100000000.0
228,229,Virgin Islands,Mittelamerika,352,120917.0,1800000000.0
229,230,Wallis und Futuna,Ozeanien,274,15283.0,28700000.0
230,231,West Bank,Mittlerer Osten,5860,2020298.0,3300000000.0
231,232,Westliche Sahara,Afrika,266000,244943.0,
232,233,Jemen,Mittlerer Osten,527970,17479206.0,12700000000.0
233,234,Zambia,Afrika,752614,9582418.0,8500000000.0
234,235,Zimbabwe,Afrika,390580,11342521.0,26500000000.0
